|location|name|party
0||Robert Gardiner|United Farmers of Alberta
1||John Francis Buckley (died 27 November 1931)|Liberal
2||Henry Elvins Spencer|United Farmers of Alberta
3||Edward Joseph Garland|United Farmers of Alberta
4||George Douglas Stanley|Conservative
5||Richard Bedford Bennett (until 7 July 1930 emoulment appointment)|Conservative
6||William Thomas Lucas|United Farmers of Alberta
7||Ambrose Upton Gledstanes Bury|Conservative
8||Charles Stewart|Liberal
9||John Smith Stewart|Conservative
10||George Gibson Coote|United Farmers of Alberta
11||Frederick William Gershaw|Liberal
12||Donald MacBeth Kennedy|United Farmers of Alberta
13||Alfred Speakman|United Farmers of Alberta
14||Michael Luchkovich|United Farmers of Alberta
15||William Irvine|United Farmers of Alberta
16||John Anderson Fraser|Conservative
17||Alan Webster Neill|Independent
18||Harry James Barber|Conservative
19||Michael Dalton McLean (until 7 August 1930 emoulment appointment)|Conservative
20||William Kemble Esling|Conservative
21||Charles Herbert Dickie|Conservative
22||Thomas Reid|Liberal
23||Olof Hanson|Liberal
24||Wilfred Hanbury|Liberal
25||Ian Alistair Mackenzie|Liberal
26||Albert Edward Munn|Liberal
27||Angus MacInnis|Independent Labour
28||D'Arcy Britton Plunkett|Conservative
29||Grote Stirling|Conservative
30||David Wilson Beaubier|Conservative
31||James Langstaff Bowman|Conservative
32||John Livingstone Brown|Liberal-Progressive
33||William Gilbert Weir|Liberal-Progressive
34||Henry Alfred Mullins|Conservative
35||Thomas Gerow Murphy (until 7 August 1930 emoulment appointment)|Conservative
36||Bernard Munroe Stitt|Conservative
37||William Herbert Burns|Conservative
38||Arthur-Lucien Beaubien|Liberal-Progressive
39||James Herbert Stitt|Conservative
40||Errick French Willis|Progressive Conservative
41||Thomas Hay|Conservative
42||John Power Howden|Liberal
43||Abraham Albert Heaps|Labour
44||James Shaver Woodsworth|Labour
45||Robert Rogers|Conservative
46||William Walker Kennedy|Conservative
47||Arthur D. Ganong|Conservative
48||Peter John Veniot|Liberal
49||Telesphore Arsenault|Conservative
50||George Manning McDade|Conservative
51||Maxime Cormier|Conservative
52||George Burpee Jones|Conservative
53||Thomas Bell|Conservative
54||Benjamin Franklin Smith|Conservative
55||Otto Baird Price|Conservative
56||Richard Hanson|Conservative
57||William Duff|Liberal
58||Lewis Wilkieson Johnstone|Conservative
59||Finlay MacDonald|Conservative
60||Martin Luther Urquhart|Liberal
61||Robert Knowlton Smith|Conservative
62||Harry Bernard Short|Conservative
63||William Anderson Black|Conservative
64||James Lorimer Ilsley|Liberal
65||Isaac Duncan MacDougall|Conservative
66||Thomas Cantley|Conservative
67||William Gordon Ernst|Conservative
68||John Alexander Macdonald (until 22 August 1930 emoulment appointment)|Conservative
69||James Layton Ralston|Liberal
70||George Brecken Nicholson|Conservative
71||Thomas Edward Simpson|Conservative
72||Robert Edwy Ryerson|Conservative
73||Franklin Smoke|Conservative
74||James Malcolm|Liberal
75||Walter Allan Hall|Liberal
76||William Foster Garland|Conservative
77||William Earl Rowe|Conservative
78||Fred Wellington Bowen|Conservative
79||Mitchell Hepburn (resigned 8 June 1934)|Liberal
80||Raymond Ducharme Morand|Conservative
81||Eccles James Gott|Conservative
82||Sidney Cecil Robinson|Conservative
83||Robert James Manion (until 7 August 1930 ministerial appointment)|Conservative
84||William Spankie (died 27 May 1934)|Conservative
85||Angus McGillis|Conservative
86||Arza Clair Casselman|Conservative
87||Victor Clarence Porteous|Conservative
88||Agnes Campbell Macphail|Progressive
89||Mark Cecil Senn|Conservative
90||Robert King Anderson|Conservative
91||George Septimus Rennie (died 13 October 1930)|Conservative
92||Charles William Bell|Conservative
93||Alexander Thomas Embury|Conservative
94||William Ernest Tummon|Conservative
95||George Spotton|Conservative
96||Thomas McMillan (died 7 June 1932)|Liberal
97||Peter Heenan (resigned 10 July 1934 to take seat in Ontario Legislature)|Liberal
98||James Warren Rutherford|Liberal
99||Arthur Edward Ross|Conservative
100||John Thomas Sproule|Conservative
101||Ross Wilfred Gray|Liberal
102||Thomas Alfred Thompson|Conservative
103||Hugh Alexander Stewart (until 7 August 1930 emoulment appointment)|Conservative
104||James Dew Chaplin|Conservative
105||John Franklin White|Conservative
106||Frank Boyes|Conservative
107||John Campbell Elliott|Liberal
108||Peter McGibbon|Conservative
109||Raoul Hurtubise|Liberal
110||William Horace Taylor|Liberal
111||William Alexander Fraser|Liberal
112||William Henry Moore|Liberal
113||Thomas Franklin Ahearn|Liberal
114||Donald Matheson Sutherland (until emoulment appointment)|Conservative
115||Thomas Merritt Cayley (died in office)|Liberal
116||David Spence|Conservative
117||James Arthurs|Conservative
118||Samuel Charters|Conservative
119||David McKenzie Wright|Conservative
120||Frederick George Sanderson|Liberal
121||Edward Armour Peck|Conservative
122||Donald James Cowan|Conservative
123||Elie-Oscar Bertrand|Liberal
124||John Aaron Weese|Conservative
125||Ira Delbert Cotnam|Conservative
126||Martin James Maloney|Conservative
127||Alfred Goulet|Liberal
128||Alfred Burke Thompson|Conservative
129||John Thomas Simpson|Conservative
130||Frank Thomas Shaver|Conservative
131||Joseph-Arthur Bradette|Liberal
132||Wesley Ashton Gordon (until ministerial appointment)|Conservative
133||Edmond Baird Ryckman (until ministerial appointment)|Conservative
134||Robert Charles Matthews|Conservative
135||Alexander James Anderson|Conservative
136||Richard Langton Baker|Conservative
137||John Ritchie MacNicol|Conservative
138||Joseph Henry Harris|Conservative
139||George Reginald Geary|Conservative
140||Samuel Factor|Liberal
141||Thomas Hubert Stinson|Conservative
142||William Daum Euler|Liberal
143||Alexander McKay Edwards|Conservative
144||George Hamilton Pettit|Conservative
145||John Knox Blair|Liberal
146||Hugh Guthrie (until ministerial appointment)|Conservative
147||Gordon Crooks Wilson|Conservative
148||Thomas Herbert Lennox (died in office)|Conservative
149||Robert Henry McGregor|Conservative
150||James Earl Lawson|Conservative
151||John Alexander Macdonald|Conservative
152||Alfred Edgar MacLean|Liberal
153||Winfield Chester Scott McLure|Conservative
154||George Halsey Perley|Conservative
