|location|name|party
0||Victor Quelch|Social Credit
1||Joseph Miville Dechene|Liberal
2||Robert Fair|Social Credit
3||Charles Edward Johnston|Social Credit
4||George Henry Ross|Liberal
5||Manley Justin Edwards|Liberal
6||James Alexander Marshall|Social Credit
7||Frederick Clayton Casselman (died 20 March 1941)|Liberal
8||James Angus MacKinnon|Liberal
9||Walter Frederick Kuhl|New Democracy
10||John Horne Blackmore|Social Credit
11||Ernest George Hansell|Social Credit
12||Frederick William Gershaw|Liberal
13||John Sissons|Liberal
14||Frederick Davis Shaw|Social Credit
15||Anthony Hlynka|Social Credit
16||Norman Jaques|Social Credit
17||James Gray Turgeon|Liberal
18||Alan Webster Neill|Independent
19||George Alexander Cruickshank|Liberal
20||Thomas James O'Neill|Liberal
21||George Ernest Lawson Mackinnon|National Government
22||William Kemble Esling|National Government
23||Alan Chambers|Liberal
24||Thomas Reid|Liberal
25||Olof Hanson|Liberal
26||Gerald Grattan McGeer|Liberal
27||Ian Alistair Mackenzie|Liberal
28||Angus MacInnis|C.C.F.
29||James Sinclair|Liberal
30||Howard Charles Green|National Government
31||Robert Wellington Mayhew|Liberal
32||Grote Stirling|National Government
33||James Ewen Matthews|Liberal
34||Thomas Crerar|Liberal
35||William John Ward|Liberal
36||Howard Winkler|Liberal
37||William Gilbert Weir|Liberal-Progressive
38||James Allison Glen|Liberal-Progressive
39||Frederick Donald Mackenzie|Liberal
40||Harry Leader|Liberal
41||René Jutras|Liberal
42||Joseph Thorarinn Thorson (until 6 October 1942 emoulment appointment)|Liberal
43||James Arthur Ross|National Government
44||John Mouat Turner|Liberal
45||John Power Howden|Liberal
46||James Shaver Woodsworth (died 21 March 1942)|C.C.F.
47||Charles Stephen Booth|Liberal
48||Leslie Alexander Mutch|Liberal
49||Ralph Maybank|Liberal
50||Burton Maxwell Hill|Liberal
51||Clarence Joseph Veniot|Liberal
52||Aurel D. Léger|Liberal
53||Joseph Leonard O'Brien|National Government
54||Joseph Enoil Michaud|Liberal
55||Alfred Johnson Brooks|National Government
56||Douglas King Hazen|National Government
57||Heber Harold Hatfield|National Government
58||Henry Read Emmerson|Liberal
59||Richard Hanson|National Government
60||James Ralph Kirk|Liberal
61||Matthew Maclean|Liberal
62||Clarence Gillis|C.C.F.
63||Gordon Timlin Purdy|Liberal
64||Percy Chapman Black|National Government
65||James Lorimer Ilsley|Liberal
66||Gordon Benjamin Isnor|Liberal
67||Moses Elijah McGarry|Liberal
68||Henry Byron McCulloch|Liberal
69||John James Kinley|Liberal
70||Vincent-Joseph Pottier|Liberal
71||Thomas Farquhar|Liberal
72||George Ewart Nixon|Liberal
73||William Ross Macdonald|Liberal
74||George Ernest Wood|Liberal
75||Thomas Langton Church|National Government
76||William Rae Tomlinson|Liberal
77||Alonzo Hyndman (died 9 April 1940)|National Government
78||Joseph-Arthur Bradette|Liberal
79||Joseph Henry Harris|Conservative
80||John Ritchie MacNicol|National Government
81||William Earl Rowe|National Government
82||Wilbert Franklin Rickard|Liberal
83||Frederick George Hoblitzell|Liberal
84||Wilson Henry Mills|Liberal
85||Paul Martin Sr.|Liberal
86||Stuart Murray Clark|Liberal
87||Norman Alexander McLarty|Liberal
88||Daniel McIvor|Liberal
89||Wilbert Ross Aylesworth|National Government
90||William Burton Macdiarmid|Liberal
