|position|name|date
0|Prime Minister|Pierre Trudeau|20 April 1968-4 June 1979
1|Deputy Prime Minister|Allan MacEachen|16 September 1977-4 June 1979
2|Minister of Agriculture|Joe Greene|20 April 1968-6 July 1968
3|Minister of Agriculture|Bud Olson|6 July 1968-27 November 1972
4|Minister of Agriculture|Eugene Whelan|27 November 1972-4 June 1979
5|Minister of Amateur Sport|Allan MacEachen|20 April 1968-6 July 1968
6|Minister of Amateur Sport|John Munro|6 July 1968-27 November 1972
7|Minister of Amateur Sport|Marc Lalonde|27 November 1972-15 September 1976
8|Minister responsible for the Canadian Dairy Commission|Joe Greene|20 April 1968-6 July 1968
9|Minister responsible for the Canadian Dairy Commission|Bud Olson|6 July 1968-27 November 1972
10|Minister responsible for the Canadian Dairy Commission|Eugene Whelan|27 November 1972-4 June 1979
11|Minister responsible for Canadian International Development Agency|Mitchell Sharp|20 April 1968-8 August 1974
12|Minister responsible for Canadian International Development Agency|Allan MacEachen|8 August 1974-14 September 1976
13|Minister responsible for Canadian International Development Agency|Don Jamieson|14 September 1976-4 June 1979
14|Minister for Canada Mortgage and Housing Corporation|Paul Hellyer|20 April 1968-5 May 1969
15|Minister for Canada Mortgage and Housing Corporation|Bob Andras|5 May 1969-28 January 1972
16|Minister for Canada Mortgage and Housing Corporation|Ron Basford|28 January 1972-8 August 1974
17|Minister for Canada Mortgage and Housing Corporation|Barney Danson|8 August 1974-5 November 1976
18|Minister for Canada Mortgage and Housing Corporation|André Ouellet|5 November 1976-4 June 1979
19|Minister for the Canadian Wheat Board|Charles Drury|20 April 1968-6 July 1968
20|Minister for the Canadian Wheat Board|Jean-Luc Pépin|6 July 1968-15 October 1969
21|Minister for the Canadian Wheat Board|Otto Lang|15 October 1969-4 June 1979
22|Minister of Communications|Eric Kierans|1 April 1969-29 April 1971
23|Minister of Communications|Jean-Pierre Côté (acting)|29 April 1971-11 May 1971
24|Minister of Communications|Gérard Pelletier (acting)|11 May 1971-12 August 1971
25|Minister of Communications|Robert Stanbury|12 August 1971-27 November 1972
