|position|name|date
0|Prime Minister| Jean Chrétien|4 November 1993 – 12 December 2003
1|Deputy Prime Minister of Canada| Sheila Copps|4 November 1993 – 30 April 1996
2|Deputy Prime Minister of Canada| Vacant|1 May 1996 – 18 June 1996
3|Deputy Prime Minister of Canada| Sheila Copps|19 June 1996 – 10 June 1997
4|Deputy Prime Minister of Canada| Herb Gray|11 June 1997 – 14 January 2002
5|Deputy Prime Minister of Canada| John Manley|15 January 2002 – 12 December 2003
6|Minister of Agriculture| Ralph Goodale|4 November 1993 – 11 January 1995
7|Minister of Agriculture and Agri-Food| Ralph Goodale|12 January 1995 – 10 June 1997
8|Minister of Agriculture and Agri-Food| Lyle Vanclief|11 June 1997 – 12 December 2003
9|Minister for the Atlantic Canada Opportunities Agency| David Charles Dingwall|4 November 1993 – 24 January 1996
10|Minister for the Atlantic Canada Opportunities Agency| John Manley|25 January 1996 – 16 October 2000
11|Minister for the Atlantic Canada Opportunities Agency| Brian Tobin|17 October 2000 – 14 January 2002
12|Minister for the Atlantic Canada Opportunities Agency| Allan Rock|15 January 2002 – 12 December 2003
13|Minister of Canadian Heritage| Sheila Copps|12 July 1996 – 12 December 2003
14|Minister of Citizenship and Immigration| Sergio Marchi|30 June 1994 – 24 January 1996
15|Minister of Citizenship and Immigration| Lucienne Robillard|25 January 1996 – 2 August 1999
16|Minister of Citizenship and Immigration| Elinor Caplan|3 August 1999 – 14 January 2002
17|Minister of Citizenship and Immigration| Denis Coderre|15 January 2002 – 12 December 2003
18|Minister of Communications| Michel Dupuy|4 November 1993 – 24 January 1996
19|Minister of Communications| Sheila Copps|25 January 1996 – 30 April 1996
20|Minister of Communications| Vacant|1 May 1996 – 18 June 1996
21|Minister of Communications| Sheila Copps|19 June 1996 – 11 July 1996
22|Minister of Consumer and Corporate Affairs| John Manley|4 November 1993 – 28 March 1995
23|Minister of Employment and Immigration| Lloyd Axworthy|4 November 1993 – 24 January 1996
24|Minister of Employment and Immigration| Douglas Young|25 January 1996 – 11 July 1996
25|Minister of Energy, Mines and Resources| Anne McLellan|4 November 1993 – 11 January 1995
26|Minister of the Environment| Sheila Copps|4 November 1993 – 24 January 1996
27|Minister of the Environment| Sergio Marchi|25 January 1996 – 10 June 1997
28|Minister of the Environment| Christine Stewart|11 June 1997 – 2 August 1999
29|Minister of the Environment| David Anderson|3 August 1999 – 12 December 2003
30|Minister of Finance| Paul Martin|4 November 1993 – 2 June 2002
31|Minister of Finance| John Manley|2 June 2002 – 12 December 2003
32|Minister of Fisheries and Oceans| Brian Tobin|4 November 1993 – 8 January 1996
33|Minister of Fisheries and Oceans| Fred J. Mifflin|25 January 1996 – 10 June 1997
34|Minister of Fisheries and Oceans| David Anderson|11 June 1997 – 2 August 1999
35|Minister of Fisheries and Oceans| Herb Dhaliwal|3 August 1999 – 14 January 2002
36|Minister of Fisheries and Oceans| Robert G. Thibault|15 January 2002 – 12 December 2003
37|Minister of Forestry| Anne McLellan|4 November 1993 – 11 January 1995
38|Minister of Health| David Charles Dingwall|12 July 1996 – 10 June 1997
39|Minister of Health| Allan Rock|11 June 1997 – 14 January 2002
40|Minister of Health| Anne McLellan|15 January 2002 – 12 December 2003
41|Minister of Human Resources Development| Douglas Young|12 July 1996 – 3 October 1996
42|Minister of Human Resources Development| Pierre Pettigrew|4 October 1996 – 2 August 1999
43|Minister of Human Resources Development| Jane Stewart|3 August 1999 – 12 December 2003
44|Minister of Indian Affairs and Northern Development| Ron Irwin|4 November 1993 – 10 June 1997
45|Minister of Indian Affairs and Northern Development| Jane Stewart|11 June 1997 – 2 August 1999
46|Minister of Indian Affairs and Northern Development| Robert Daniel Nault|3 August 1999 – 12 December 2003
47|Minister of Industry| John Manley|29 March 1995 – 16 October 2000
48|Minister of Industry| Brian Tobin|17 October 2000 – 14 January 2002
49|Minister of Industry| Allan Rock|15 January 2002 – 12 December 2003
50|Minister of Industry, Science and Technology| John Manley|4 November 1993 – 28 March 1995
51|Minister for International Cooperation| Pierre Pettigrew|25 January 1996 – 3 October 1996
52|Minister for International Cooperation| Don Boudria|4 October 1996 – 10 June 1997
53|Minister for International Cooperation| Diane Marleau|11 June 1997 – 2 August 1999
54|Minister for International Cooperation| Maria Minna|3 August 1999 – 14 January 2002
55|Minister for International Cooperation| Susan Whelan|15 January 2002 – 12 December 2003
56|Minister for International Trade| Roy MacLaren|4 November 1993 – 24 January 1996
57|Minister for International Trade| Arthur C. Eggleton|25 January 1996 – 10 June 1997
58|Minister for International Trade| Sergio Marchi|11 June 1997 – 2 August 1999
59|Minister for International Trade| Pierre Pettigrew|3 August 1999 – 12 December 2003
60|Minister of Intergovernmental Affairs| Marcel Massé|4 November 1993 – 24 January 1996
61|Minister of Intergovernmental Affairs| Stéphane Dion|25 January 1996 – 12 December 2003
62|Minister of Justice| Allan Rock|4 November 1993 – 10 June 1997
63|Minister of Justice| Anne McLellan|11 June 1997 – 14 January 2002
64|Minister of Justice| Martin Cauchon|15 January 2002 – 12 December 2003
65|Attorney General of Canada| The Minister of Justice (Ex officio)|4 November 1993 – 12 December 2003
66|Attorney General of Canada| Allan Rock|4 November 1993 – 10 June 1997
67|Attorney General of Canada| Anne McLellan|11 June 1997 – 14 January 2002
68|Attorney General of Canada| Martin Cauchon|15 January 2002 – 12 December 2003
69|Minister of Labour| Lloyd Axworthy|4 November 1993 – 21 February 1995
70|Minister of Labour| Lucienne Robillard|22 February 1995 – 24 January 1996
71|Minister of Labour| Alfonso Gagliano|25 January 1996 – 10 June 1997
72|Minister of Labour| Lawrence MacAulay|11 June 1997 – 22 November 1998
73|Minister of Labour| Claudette Bradshaw|23 November 1998 – 12 December 2003
74|Minister of Multiculturalism and Citizenship| Michel Dupuy|4 November 1993 – 24 January 1996
75|Minister of Multiculturalism and Citizenship| Sheila Copps|25 January 1996 – 30 April 1996
76|Minister of Multiculturalism and Citizenship| Vacant|1 May 1996 – 18 June 1996
77|Minister of Multiculturalism and Citizenship| Sheila Copps|19 June 1996 – 11 July 1996
78|Minister of National Defence| David Michael Collenette|4 November 1993 – 4 October 1996
79|Minister of National Defence| Douglas Young|4 October 1996 – 10 June 1997
