|location|name|party
0||Victor Quelch|Social Credit
1||Joseph Miville Dechene|Liberal
2||Robert Fair|Social Credit
3||Charles Edward Johnston|Social Credit
4||Douglas Harkness|Progressive Conservative
5||Arthur LeRoy Smith|Progressive Conservative
6||James Alexander Marshall|Social Credit
7||Patrick Harvey Ashby|Social Credit
8||James Angus MacKinnon|Liberal
9||Walter Frederick Kuhl|Social Credit
10||John Horne Blackmore|Social Credit
11||Ernest George Hansell|Social Credit
12||William Duncan Wylie|Social Credit
13||Solon Earl Low|Social Credit
14||Frederick Davis Shaw|Social Credit
15||Anthony Hlynka|Social Credit
16||Norman Jaques|Social Credit
17||William Irvine|C.C.F.
18||John Lambert Gibson|Independent Liberal
19||George Cruickshank|Liberal
20||Davie Fulton|Progressive Conservative
21||James Herbert Matthews|C.C.F.
22||Herbert Wilfred Herridge|Independent C.C.F.
23||George Pearkes|Progressive Conservative
24||Thomas Reid|Liberal
25||Harry Archibald|C.C.F.
26||Charles Merritt|Progressive Conservative
27||Ian Alistair Mackenzie (until January 19, 1948 Senate appointment)|Liberal
28||Angus MacInnis|C.C.F.
29||James Sinclair|Liberal
30||Howard Charles Green|Progressive Conservative
31||Robert Mayhew|Liberal
32||Grote Stirling (resigned October 21, 1947)|Progressive Conservative
33||James Ewen Matthews|Liberal
34||Ronald Stewart Moore|C.C.F.
35||Fred Zaplitny|C.C.F.
36||Howard Winkler|Liberal
37||William Gilbert Weir|Liberal-Progressive
38||James Allison Glen (resigned November 4, 1948)|Liberal
39||John Bracken|Progressive Conservative
40||Harry Leader (died May 9, 1946)|Liberal
41||René Jutras|Liberal
42||William Bryce|C.C.F.
43||J. Arthur Ross|Progressive Conservative
44||John Sinnott|Liberal
45||Fernand Viau|Liberal
46||Alistair Stewart|C.C.F.
47||Stanley Knowles|C.C.F.
48||Leslie Mutch|Liberal
49||Ralph Maybank|Liberal
50||A. Wesley Stuart|Liberal
51||Clovis-Thomas Richard|Liberal
52||Aurel Léger|Liberal
53||John William Maloney|Liberal
54||Benoît Michaud|Liberal
55||Alfred Johnson Brooks|Progressive Conservative
56||King Hazen|Progressive Conservative
57||Heber Harold Hatfield|Progressive Conservative
58||Henry Read Emmerson|Liberal
59||Hedley Francis Gregory Bridges (died in office)|Liberal
60||J. Ralph Kirk|Liberal
61||Matthew MacLean|Liberal
62||Clarence Gillis|C.C.F.
63||Frank Thomas Stanfield|Progressive Conservative
64||Percy Chapman Black|Progressive Conservative
65||James Lorimer Ilsley (resigned October 27, 1948)|Liberal
66||Gordon Benjamin Isnor|Liberal
67||Moses Elijah McGarry|Liberal
68||Henry Byron McCulloch|Liberal
69||Robert Winters|Liberal
70||Loran Ellis Baker|Liberal
71||Thomas Farquhar (until September 10, 1948 Senate appointment)|Liberal
72||George E. Nixon|Liberal
73||William Ross Macdonald|Liberal
74||John A. Charlton|Progressive Conservative
75||Thomas Langton Church|Progressive Conservative
76||Andrew Ernest Robinson|Progressive Conservative
77||George Russell Boucher (resigned November 1, 1948)|Progressive Conservative
78||Joseph-Arthur Bradette|Liberal
79||Joseph Henry Harris|Progressive Conservative
80||John Ritchie MacNicol|Progressive Conservative
81||William Earl Rowe|Progressive Conservative
82||Charles Elwood Stephenson|Progressive Conservative
83||Donald Fleming|Progressive Conservative
