|position|name|date
1|Prime Minister of Canada|Justin Trudeau|November 4, 2015 – Present
2|Associate Minister of National Defence|Kent Hehr|November 4, 2015 – August 28, 2017
3|Associate Minister of National Defence|Seamus O'Regan|August 28, 2017 – January 14, 2019
4|Associate Minister of National Defence|Jody Wilson-Raybould|January 14, 2019 – February 12, 2019
5|Associate Minister of National Defence|Harjit Sajjan (acting)|February 12, 2019 – March 1, 2019
6|Associate Minister of National Defence|Lawrence MacAulay|March 1, 2019 – Present
7|Leader of the Government in the House of Commons|Dominic LeBlanc|November 4, 2015 – August 19, 2016
8|Leader of the Government in the House of Commons|Bardish Chagger|August 19, 2016 – Present
9|Deputy Leader of the Government in the House of Commons|Arnold Chan|November 4, 2015 – September 14, 2017
10|Deputy Leader of the Government in the House of Commons|Chris Bittle|September 14, 2017 – Present
11|Minister of Agriculture and Agri-Food|Lawrence MacAulay|November 4, 2015 – March 1, 2019
12|Minister of Agriculture and Agri-Food|Marie-Claude Bibeau|March 1, 2019 – Present
13|Minister for the Atlantic Canada Opportunities Agency|Navdeep Bains|November 4, 2015 – Present
14|Minister of Border Security and Organized Crime Reduction|Bill Blair|July 18, 2018 – Present
15|Minister of Canadian Heritage|Mélanie Joly|November 4, 2015 – July 18, 2018
16|Minister of Canadian Heritage|Pablo Rodríguez|July 18, 2018 – Present
17|Minister responsible for the Canadian Dairy Commission|Lawrence MacAulay|November 4, 2015 – March 1, 2019
18|Minister responsible for the Canadian Dairy Commission|Marie-Claude Bibeau|March 1, 2019 – Present
19|Minister for Canada Mortgage and Housing Corporation|Jean-Yves Duclos|November 4, 2015 – Present
20|Minister of the Canadian Northern Economic Development Agency|Navdeep Bains|November 4, 2015 – Present
21|Minister for Canada Post Corporation|Judy Foote|November 4, 2015 – August 24, 2017
22|Minister for Canada Post Corporation|Jim Carr (acting)|August 24, 2017 – August 28, 2017
23|Minister for Canada Post Corporation|Carla Qualtrough|August 28, 2017 – Present
24|Minister of Crown-Indigenous Relations[a]|Carolyn Bennett|November 4, 2015 – Present
