|position|name|date
0|Prime Minister|Kim Campbell|25 June 1993-4 November 1993
1|Deputy Prime Minister|Jean Charest|25 June 1993-4 November 1993
2|Minister of Agriculture|Charles Mayer|25 June 1993-4 November 1993
3|Minister of Amateur Sport|Mary Collins|25 June 1993-4 November 1993
4|Minister for the Atlantic Canada Opportunities Agency|Ross Reid|25 June 1993-4 November 1993
5|Minister responsible for the Canadian Dairy Commission|Charles Mayer|25 June 1993-4 November 1993
6|Minister responsible for Canadian International Development Agency|Perrin Beatty|25 June 1993-4 November 1993
7|Minister responsible for Canada Mortgage and Housing Corporation|Paul Dick|25 June 1993-4 November 1993
8|Minister responsible for Canada Post Corporation|Larry Schneider|25 June 1993-4 November 1993
9|Minister responsible for the Canadian Wheat Board|Charles Mayer|25 June 1993-4 November 1993
10|Minister of Communications|Monique Landry|25 June 1993-4 November 1993
11|Minister of Consumer and Corporate Affairs and Registrar General|Jean Charest|25 June 1993-4 November 1993
12|Minister responsible for Defence Construction Canada|Paul Dick|25 June 1993-4 November 1993
13|Minister of Employment and Immigration|Bernard Valcourt|25 June 1993-4 November 1993
14|Minister of Energy, Mines, and Resources|Bobbie Sparrow|25 June 1993-4 November 1993
15|Minister of the Environment|Pierre H. Vincent|25 June 1993-4 November 1993
16|Federal Interlocutor for Métis and Non-Status Indians|Jim Edwards|25 June 1993-4 November 1993
17|Secretary of State for External Affairs|Perrin Beatty|25 June 1993-4 November 1993
18|Minister for External Relations|Perrin Beatty|25 June 1993-4 November 1993
19|Minister responsible for Federal-Provincial Relations|Kim Campbell|25 June 1993-4 November 1993
20|Minister responsible for the Federal Office of Regional Development – Quebec|Jean Charest|25 June 1993-4 November 1993
21|Minister of Finance|Gilles Loiselle|25 June 1993-4 November 1993
22|Minister of Fisheries and Oceans|Ross Reid|25 June 1993-4 November 1993
23|Minister of Forestry|Bobbie Sparrow|25 June 1993-4 November 1993
24|Minister of Indian Affairs and Northern Development|Pauline Browes|25 June 1993-4 November 1993
25|Minister of Industry, Science and Technology|Jean Charest|25 June 1993-4 November 1993
26|Minister of International Trade|Tom Hockin|25 June 1993-4 November 1993
27|Minister of Justice and Attorney General|Pierre Blais|25 June 1993-4 November 1993
28|Minister responsible for La Francophonie|Perrin Beatty|25 June 1993-4 November 1993
29|Minister of Labour|Bernard Valcourt|25 June 1993-4 November 1993
30|Leader of the Government in the House of Commons|Doug Lewis|25 June 1993-4 November 1993
31|Leader of the Government in the Senate|Lowell Murray|25 June 1993-4 November 1993
32|Minister of Multiculturalism and Citizenship|Gerry Weiner|25 June 1993-4 November 1993
33|Minister responsible for National Capital Commission|Gerry Weiner|25 June 1993-4 November 1993
34|Associate Minister of National Defence|Vacant|25 June 1993-4 November 1993
35|Minister of National Defence|Tom Siddon|25 June 1993-4 November 1993
36|Minister of National Health and Welfare|Mary Collins|25 June 1993-4 November 1993
37|Minister of National Revenue|Garth Turner|25 June 1993-4 November 1993
38|President of the Privy Council|Pierre Blais|25 June 1993-4 November 1993
39|Minister of Public Security|Doug Lewis|25 June 1993-4 November 1993
40|Minister of Public Works|Paul Dick|25 June 1993-4 November 1993
41|Minister responsible for Royal Canadian Mint|Paul Dick|25 June 1993-4 November 1993
42|Minister for Science|Rob Nicholson|25 June 1993-4 November 1993
43|Secretary of State for Canada|Monique Landry|25 June 1993-4 November 1993
44|Solicitor General|Doug Lewis|25 June 1993-4 November 1993
45|Minister responsible for Small Business|Rob Nicholson|25 June 1993-4 November 1993
46|Minister of Small Communities and Rural Areas|Charles Mayer|25 June 1993-4 November 1993
47|Minister responsible for Standards Council of Canada|Jean Charest|25 June 1993-4 November 1993
48|Minister responsible for the Status of Women|Mary Collins|25 June 1993-4 November 1993
49|Minister of Supply and Services and Receiver General|Paul Dick|25 June 1993-4 November 1993
50|Minister of Transport|Jean Corbeil|25 June 1993-4 November 1993
51|President of the Treasury Board|Jim Edwards|25 June 1993-4 November 1993
52|Minister of Veterans Affairs|Peter McCreath|25 June 1993-4 November 1993
53|Minister of Western Economic Diversification|Larry Schneider|25 June 1993-4 November 1993
