|position|name|date
0|Prime Minister|John Turner|30 June 1984-17 September 1984
1|Deputy Prime Minister|Jean Chrétien|30 June 1984-17 September 1984
2|Minister of Agriculture|Ralph Ferguson|30 June 1984-17 September 1984
3|Minister responsible for the Canadian Dairy Commission|Ralph Ferguson|30 June 1984-17 September 1984
4|Minister responsible for Canadian International Development Agency|Jean Chrétien|30 June 1984-17 September 1984
5|Minister responsible for Canada Mortgage and Housing Corporation|Charles Lapointe|30 June 1984-17 September 1984
6|Minister responsible for Canada Post Corporation|Judy Erola|30 June 1984-17 September 1984
7|Minister responsible for the Canadian Wheat Board|Lloyd Axworthy|30 June 1984-17 September 1984
8|Minister of State (Canadian Wheat Board)|Lloyd Axworthy|30 June 1984-17 September 1984
9|Minister of Communications|Ed Lumley|30 June 1984-17 September 1984
10|Minister of Consumer and Corporate Affairs and Registrar General|Judy Erola|30 June 1984-17 September 1984
11|Minister responsible for Defence Construction Canada|Jean-Jacques Blais|30 June 1984-17 September 1984
12|Minister of State for Economic and Regional Development|André Ouellet|30 June 1984-17 September 1984
13|Minister of Employment and Immigration|John Roberts|30 June 1984-17 September 1984
14|Minister of Energy, Mines, and Resources|Gerald Regan|30 June 1984-17 September 1984
15|Minister of the Environment|Charles Caccia|30 June 1984-17 September 1984
16|Minister for External Relations|Jean Chrétien|30 June 1984-17 September 1984
17|Secretary of State for External Affairs|Jean Chrétien|30 June 1984-17 September 1984
18|Minister of Finance|Marc Lalonde|30 June 1984-17 September 1984
19|Minister of Fisheries and Oceans|Herb Breau|30 June 1984-17 September 1984
20|Minister of State (Fitness and Amateur Sport)|Jean Lapierre|30 June 1984-17 September 1984
21|Minister of Indian Affairs and Northern Development|Doug Frith|30 June 1984-17 September 1984
22|Minister of International Trade|Francis Fox|30 June 1984-17 September 1984
23|Minister of Justice and Attorney General|Don Johnston|30 June 1984-17 September 1984
24|Minister responsible for La Francophonie|Jean Chrétien|30 June 1984-17 September 1984
25|Minister of Labour|André Ouellet|30 June 1984-17 September 1984
26|Leader of the Government in the House of Commons|André Ouellet|30 June 1984-17 September 1984
27|Leader of the Government in the Senate|Allan MacEachen|30 June 1984-17 September 1984
28|Minister responsible for Metric Commission|Judy Erola|30 June 1984-17 September 1984
29|Minister of State (Mines)|Bill Rompkey|30 June 1984-17 September 1984
30|Minister of State (Multiculturalism)|David Collenette|30 June 1984-17 September 1984
31|Minister responsible for National Capital Commission|Charles Lapointe|30 June 1984-17 September 1984
32|Associate Minister of National Defence|Vacant|30 June 1984-17 September 1984
33|Minister of National Defence|Jean-Jacques Blais|30 June 1984-17 September 1984
34|Minister of National Health and Welfare|Monique Bégin|30 June 1984-17 September 1984
35|Minister of National Revenue|Roy MacLaren|30 June 1984-17 September 1984
36|President of the Privy Council|André Ouellet|30 June 1984-17 September 1984
37|Minister of Public Works|Charles Lapointe|30 June 1984-17 September 1984
38|Minister of State (Regional Development)|Rémi Bujold|30 June 1984-17 September 1984
39|Minister of Regional Industrial Expansion|Ed Lumley|30 June 1984-17 September 1984
40|Minister responsible for Royal Canadian Mint|Charles Lapointe|30 June 1984-17 September 1984
41|Minister of State for Science and Technology|Ed Lumley|30 June 1984-17 September 1984
42|Secretary of State for Canada|Serge Joyal|30 June 1984-17 September 1984
43|Minister of State (Small Businesses and Tourism)|David Smith|30 June 1984-17 September 1984
44|Minister of State for Social Development|Judy Erola|30 June 1984-17 September 1984
45|Solicitor General|Bob Kaplan|30 June 1984-17 September 1984
46|Minister responsible for Standards Council of Canada|Judy Erola|30 June 1984-17 September 1984
47|Minister responsible for the Status of Women|Judy Erola|30 June 1984-17 September 1984
48|Minister of Supply and Services and Receiver General|Charles Lapointe|30 June 1984-17 September 1984
49|Minister of Transport|Lloyd Axworthy|30 June 1984-17 September 1984
50|Minister of State (Transport)|Bill Rompkey|30 June 1984-17 September 1984
51|President of the Treasury Board|Herb Gray|30 June 1984-17 September 1984
52|Minister of Veterans Affairs|Bennett Campbell|30 June 1984-17 September 1984
53|Minister of State (Youth)|Jean Lapierre|30 June 1984-17 September 1984
