|position|name|date
0|Prime Minister|William Lyon Mackenzie King|23 October 1935-15 November 1948
1|Minister of Agriculture|Vacant (George Barton was acting)|23 October 1935-25 October 1935
2|Minister of Agriculture|Thomas Crerar (acting)|25 October 1935-4 November 1935
3|Minister of Agriculture|James Garfield Gardiner|4 November 1935-15 November 1948
4|Minister for Canada Mortgage and Housing Corporation|C. D. Howe|1 January 1946-15 November 1948
5|Minister for the Canadian Wheat Board|William Daum Euler|23 October 1935-9 May 1940
6|Minister for the Canadian Wheat Board|James Angus MacKinnon|9 May 1940-19 January 1948
7|Minister for the Canadian Wheat Board|C. D. Howe|19 January 1948-15 November 1948
8|Secretary of State for External Affairs|William Lyon Mackenzie King|23 October 1935-4 September 1946
9|Secretary of State for External Affairs|Louis St. Laurent|4 September 1946-10 September 1948
10|Secretary of State for External Affairs|Lester B. Pearson|10 September 1948-15 November 1948
11|Minister of Finance and Receiver General|Charles Avery Dunning|23 October 1935-6 September 1939
12|Minister of Finance and Receiver General|James Ralston|6 September 1939-8 July 1940
13|Minister of Finance and Receiver General|James Lorimer Ilsley|8 July 1940-10 December 1946
14|Minister of Finance and Receiver General|Douglas Abbott|10 December 1946-15 November 1948
15|Minister of Fisheries|Joseph-Enoil Michaud|23 October 1935-7 October 1942
16|Minister of Fisheries|Ernest Bertrand|7 October 1942-30 August 1945
17|Minister of Fisheries|Hedley Francis Gregory Bridges|30 August 1945-11 August 1947
18|Minister of Fisheries|Vacant (Stewart Bates was acting)|11 August 1947-14 August 1947
19|Minister of Fisheries|Ernest Bertrand (acting)|14 August 1947-2 September 1947
20|Minister of Fisheries|Milton Fowler Gregg|2 September 1947-19 January 1948
21|Minister of Fisheries|James Angus MacKinnon|19 January 1948-11 June 1948
22|Minister of Fisheries|Robert Wellington Mayhew|11 June 1948-15 November 1948
23|Minister of Immigration and Colonization|Thomas Crerar|23 October 1935-1 December 1936
24|Minister of the Interior and Superintendent-General of Indian Affairs|Thomas Crerar|23 October 1935-1 December 1936
25|Minister responsible for Indian Affairs|Thomas Crerar|1 December 1936-18 April 1945
26|Minister responsible for Indian Affairs|James Allison Glen|18 April 1945-11 June 1948
27|Minister responsible for Indian Affairs|James Angus MacKinnon|11 June 1948-15 November 1948
28|Minister of Justice and Attorney General|Ernest Lapointe|23 October 1935-27 November 1941
29|Minister of Justice and Attorney General|Joseph-Enoil Michaud (acting)|27 November 1941-10 December 1941
30|Minister of Justice and Attorney General|Louis St. Laurent|10 December 1941-10 December 1946
31|Minister of Justice and Attorney General|James Lorimer Ilsley|10 December 1946-1 July 1948
32|Minister of Justice and Attorney General|Louis St. Laurent (acting)|1 July 1948-10 September 1948
33|Minister of Justice and Attorney General|Louis St. Laurent|10 September 1948-15 November 1948
34|Minister of Labour|Norman McLeod Rogers|23 October 1935-19 September 1939
35|Minister of Labour|Norman Alexander McLarty|19 September 1939-15 December 1941
36|Minister of Labour|Humphrey Mitchell|15 December 1941-15 November 1948
37|Leader of the Government in the House of Commons|Ian Alistair Mackenzie|18 October 1944-1 May 1948
38|Leader of the Government in the House of Commons|Alphonse Fournier|1 May 1948-15 November 1948
39|Leader of the Government in the Senate|Raoul Dandurand|23 October 1935-11 March 1942
40|Leader of the Government in the Senate|James Horace King (acting)|11 March 1942-26 May 1942
41|Leader of the Government in the Senate|James Horace King|26 May 1942-25 August 1945
42|Leader of the Government in the Senate|Wishart McLea Robertson|25 August 1945-15 November 1948
43|Minister of Marine|C. D. Howe|23 October 1935-2 November 1936
44|Minister of Mines|Thomas Crerar|23 October 1935-1 December 1936
45|Minister of Mines and Resources|Thomas Crerar|1 December 1936-18 April 1945
46|Minister of Mines and Resources|James Allison Glen|18 April 1945-11 June 1948
47|Minister of Mines and Resources|James Angus MacKinnon|11 June 1948-15 November 1948
