|name|party|location
0|Blake Richards|Conservative|Banff—Airdrie
1|Damien Kurek|Conservative|Battle River—Crowfoot
2|Martin Shields|Conservative|Bow River
3|Greg McLean|Conservative|Calgary Centre
4|Len Webber|Conservative|Calgary Confederation
5|Jasraj Hallan|Conservative|Calgary Forest Lawn
6|Bob Benzen|Conservative|Calgary Heritage
7|Stephanie Kusie|Conservative|Calgary Midnapore
8|Michelle Rempel|Conservative|Calgary Nose Hill
9|Pat Kelly|Conservative|Calgary Rocky Ridge
10|Tom Kmiec|Conservative|Calgary Shepard
11|Ron Liepert|Conservative|Calgary Signal Hill
12|Jag Sahota|Conservative|Calgary Skyview
13|James Cumming|Conservative|Edmonton Centre
14|Kerry Diotte|Conservative|Edmonton Griesbach
15|Ziad Aboultaif|Conservative|Edmonton Manning
16|Tim Uppal|Conservative|Edmonton Mill Woods
17|Matt Jeneroux|Conservative|Edmonton Riverbend
18|Heather McPherson|NDP|Edmonton Strathcona
19|Kelly McCauley|Conservative|Edmonton West
20|Mike Lake|Conservative|Edmonton—Wetaskiwin
21|John Barlow|Conservative|Foothills
22|David Yurdiga|Conservative|Fort McMurray—Cold Lake
23|Chris Warkentin|Conservative|Grande Prairie—Mackenzie
24|Shannon Stubbs|Conservative|Lakeland
25|Rachael Harder|Conservative|Lethbridge
26|Glen Motz|Conservative|Medicine Hat—Cardston—Warner
27|Arnold Viersen|Conservative|Peace River—Westlock
28|Blaine Calkins|Conservative|Red Deer—Lacombe
29|Earl Dreeshen|Conservative|Red Deer—Mountain View
30|Garnett Genuis|Conservative|Sherwood Park—Fort Saskatchewan
31|Michael Cooper|Conservative|St. Albert—Edmonton
32|Dane Lloyd|Conservative|Sturgeon River—Parkland
33|Gerald Soroka|Conservative|Yellowhead
34|Ed Fast|Conservative|Abbotsford
35|Terry Beech|Liberal|Burnaby North—Seymour
36|Jagmeet Singh|NDP|Burnaby South
37|Todd Doherty|Conservative|Cariboo—Prince George
38|Dan Albas|Conservative|Central Okanagan—Similkameen—Nicola
39|Mark Strahl|Conservative|Chilliwack—Hope
40|Tamara Jansen|Conservative|Cloverdale—Langley City
41|Ron McKinnon|Liberal|Coquitlam—Port Coquitlam
42|Gord Johns|NDP|Courtenay—Alberni
43|Alistair MacGregor|NDP|Cowichan—Malahat—Langford
44|Carla Qualtrough|Liberal|Delta
45|Randall Garrison|NDP|Esquimalt—Saanich—Sooke
46|Ken Hardie|Liberal|Fleetwood—Port Kells
47|Cathy McLeod|Conservative|Kamloops—Thompson—Cariboo
48|Tracy Gray|Conservative|Kelowna—Lake Country
49|Rob Morrison|Conservative|Kootenay—Columbia
50|Tako Van Popta|Conservative|Langley—Aldergrove
51|Brad Vis|Conservative|Mission—Matsqui—Fraser Canyon
52|Paul Manly|Green|Nanaimo—Ladysmith
53|Peter Julian|NDP|New Westminster—Burnaby
54|Rachel Blaney|NDP|North Island—Powell River
55|Mel Arnold|Conservative|North Okanagan—Shuswap
56|Jonathan Wilkinson|Liberal|North Vancouver
57|Marc Dalton|Conservative|Pitt Meadows—Maple Ridge
58|Nelly Shin|Conservative|Port Moody—Coquitlam
59|Bob Zimmer|Conservative|Prince George—Peace River—Northern Rockies
60|Alice Wong|Conservative|Richmond Centre
61|Elizabeth May|Green|Saanich—Gulf Islands
62|Taylor Bachrach|NDP|Skeena—Bulkley Valley
63|Richard Cannings|NDP|South Okanagan—West Kootenay
64|Kerry-Lynne Findlay|Conservative|South Surrey—White Rock
65|Kenny Chiu|Conservative|Steveston—Richmond East
66|Randeep Sarai|Liberal|Surrey Centre
67|Sukh Dhaliwal|Liberal|Surrey—Newton
68|Hedy Fry|Liberal|Vancouver Centre
69|Jenny Kwan|NDP|Vancouver East
70|Jody Wilson-Raybould|Independent|Vancouver Granville
71|Don Davies|NDP|Vancouver Kingsway
72|Joyce Murray|Liberal|Vancouver Quadra
73|Harjit Sajjan|Liberal|Vancouver South
74|Laurel Collins|NDP|Victoria
75|Patrick Weiler|Liberal|West Vancouver—Sunshine Coast—Sea to Sky Country
76|Larry Maguire|Conservative|Brandon—Souris
77|Marty Morantz|Conservative|Charleswood—St. James—Assiniboia—Headingley
78|Niki Ashton|NDP|Churchill—Keewatinook Aski
79|Dan Mazier|Conservative|Dauphin—Swan River—Neepawa
80|Daniel Blaikie|NDP|Elmwood—Transcona
81|Raquel Dancho|Conservative|Kildonan—St. Paul
82|Candice Bergen|Conservative|Portage—Lisgar
83|Ted Falk|Conservative|Provencher
84|Dan Vandal|Liberal|Saint Boniface—Saint Vital
85|James Bezan|Conservative|Selkirk—Interlake—Eastman
86|Leah Gazan|NDP|Winnipeg Centre
87|Kevin Lamoureux|Liberal|Winnipeg North
88|Terry Duguid|Liberal|Winnipeg South
89|Jim Carr|Liberal|Winnipeg South Centre
90|Serge Cormier|Liberal|Acadie—Bathurst
91|Dominic LeBlanc|Liberal|Beauséjour
92|Jenica Atwin|Green|Fredericton
93|Rob Moore|Conservative|Fundy Royal
94|René Arseneault|Liberal|Madawaska—Restigouche
95|Pat Finnigan|Liberal|Miramichi—Grand Lake
96|Ginette Petitpas Taylor|Liberal|Moncton—Riverview—Dieppe
97|John Williamson|Conservative|New Brunswick Southwest
98|Wayne Long|Liberal|Saint John—Rothesay
99|Richard Bragdon|Conservative|Tobique—Mactaquac
100|Ken McDonald|Liberal|Avalon
101|Churence Rogers|Liberal|Bonavista—Burin—Trinity
102|Scott Simms|Liberal|Coast of Bays—Central—Notre Dame
103|Yvonne Jones|Liberal|Labrador
104|Gudie Hutchings|Liberal|Long Range Mountains
105|Jack Harris|NDP|St. John's East
106|Seamus O'Regan|Liberal|St. John's South—Mount Pearl
107|Mike Kelloway|Liberal|Cape Breton—Canso
108|Sean Fraser|Liberal|Central Nova
