index_rows|position|name|date|start|end|minister_number|sex
60|Minister of Energy, Mines, and Resources|Pat Carney|17 September 1984-30 June 1986|1984-09-17|1986-06-30|24|male
267|President of the Treasury Board|Pat Carney|31 March 1988-28 September 1988|1988-03-31|1988-09-28|24|male
119|Minister of International Trade|Pat Carney|30 June 1986-31 March 1988|1986-06-30|1988-03-31|24|male
236|Minister of State|Pat Mahoney|28 January 1972-27 November 1972|1972-01-28|1972-11-27|20|male
10|Minister of Consumer and Corporate Affairs and Registrar General|Judy Erola|30 June 1984-17 September 1984|1984-06-30|1984-09-17|23|female
112|Minister of State (Indian Affairs and Northern Development)|Monique Landry|21 April 1991-4 January 1993|1991-04-21|1993-01-04|24|female
111|Minister of State (Indian Affairs and Northern Development)|Shirley Martin|23 February 1990-21 April 1991|1990-02-23|1991-04-21|24|female
28|Minister responsible for Metric Commission|Judy Erola|30 June 1984-17 September 1984|1984-06-30|1984-09-17|23|female
11|Minister of Citizenship and Immigration|Ellen Fairclough|12 May 1958-9 August 1962|1958-05-12|1962-08-09|18|female
44|Minister of State for Social Development|Judy Erola|30 June 1984-17 September 1984|1984-06-30|1984-09-17|23|female
46|Minister responsible for Standards Council of Canada|Judy Erola|30 June 1984-17 September 1984|1984-06-30|1984-09-17|23|female
47|Minister responsible for the Status of Women|Judy Erola|30 June 1984-17 September 1984|1984-06-30|1984-09-17|23|female
2|Minister of Canadian Heritage|Liza Frulla|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|female
241|Minister of State|Iona Campagnolo (Fitness and Amateur Sport)|15 September 1976-4 June 1979|1976-09-15|1979-06-04|20|female
78|Minister of State for External Relations|Monique Vézina|4 January 1993-25 June 1993|1993-01-04|1993-06-25|24|female
77|Minister of State for External Relations|Monique Landry|30 June 1986-4 January 1993|1986-06-30|1993-01-04|24|female
76|Minister of State for External Relations|Monique Vézina|17 September 1984-30 June 1986|1984-09-17|1986-06-30|24|female
75|Secretary of State for External Affairs|Barbara McDougall|21 April 1991-25 June 1993|1991-04-21|1993-06-25|24|female
3|Minister of Amateur Sport|Judy LaMarsh|22 April 1963-18 December 1965|1963-04-22|1965-12-18|19|female
72|Minister of State (Environment)|Pauline Browes|21 April 1991-4 January 1993|1991-04-21|1993-01-04|24|female
10|Minister of Communications|Monique Landry|25 June 1993-4 November 1993|1993-06-25|1993-11-04|25|female
64|Minister of the Environment|Suzanne Blais-Grenier|17 September 1984-20 August 1985|1984-09-17|1985-08-20|24|female
129|Minister responsible for La Francophonie|Monique Vézina|17 September 1984-30 June 1986|1984-09-17|1986-06-30|24|female
82|Minister of State (Finance)|Barbara McDougall|17 September 1984-30 June 1986|1984-09-17|1986-06-30|24|female
130|Minister responsible for La Francophonie|Monique Landry|30 June 1986-4 January 1993|1986-06-30|1993-01-04|24|female
6|Minister responsible for Canada Post Corporation|Judy Erola|30 June 1984-17 September 1984|1984-06-30|1984-09-17|23|female
50|Minister of International Development|Maryam Monsef|March 1, 2019 – Present|2019-03-01|2019-11-20|29|female
44|Minister of Indigenous Services|Jane Philpott|August 28, 2017 – January 14, 2019|2017-08-28|2019-01-14|29|female
72|Associate Minister of National Defence|Albina Guarnieri|12 December 2003 – 19 July 2004: |2003-12-12|2004-07-19|27|female
41|Minister of Health|Ginette Petitpas Taylor|August 28, 2017 – Present|2017-08-28|2019-11-20|29|female
40|Minister of Health|Jane Philpott|November 4, 2015 – August 28, 2017|2015-11-04|2017-08-28|29|female
76|President of the Queen's Privy Council for Canada|Lucienne Robillard|20 July 2004 – 6 February 2006: |2004-07-20|2006-02-06|27|female
30|Minister of Environment and Climate Change|Catherine McKenna|November 4, 2015 – Present|2015-11-04|2019-11-20|29|female
29|Minister of Employment, Workforce, and Labour|Patty Hajdu|January 10, 2017 – Present|2017-01-10|2019-11-20|29|female
26|Minister of Democratic Institutions|Karina Gould|February 1, 2017 – Present|2017-02-01|2019-11-20|29|female
25|Minister of Democratic Institutions|Maryam Monsef|November 4, 2015 – February 1, 2017|2015-11-04|2017-02-01|29|female
24|Minister of Crown-Indigenous Relations[a]|Carolyn Bennett|November 4, 2015 – Present|2015-11-04|2019-11-20|29|female
23|Minister for Canada Post Corporation|Carla Qualtrough|August 28, 2017 – Present|2017-08-28|2019-11-20|29|female
201|Minister responsible for Royal Canadian Mint|Monique Vézina|30 June 1986-27 August 1987|1986-06-30|1987-08-27|24|female
21|Minister for Canada Post Corporation|Judy Foote|November 4, 2015 – August 24, 2017|2015-11-04|2017-08-24|29|female
15|Minister of Canadian Heritage|Mélanie Joly|November 4, 2015 – July 18, 2018|2015-11-04|2018-07-18|29|female
187|Minister of State (Privatization and Regulatory Affairs)|Barbara McDougall|30 June 1986-31 March 1988|1986-06-30|1988-03-31|24|female
33|Minister of National Defence|Brooke Claxton|15 November 1948-1 July 1954|1948-11-15|1954-07-01|17|female
65|Minister of National Health and Welfare|Brooke Claxton|18 October 1944-12 December 1946|1944-10-18|1946-12-12|16|female
57|Minister of National Defence|Brooke Claxton|12 December 1946-15 November 1948|1946-12-12|1948-11-15|16|female
131|Minister responsible for La Francophonie|Monique Vézina|4 January 1993-25 June 1993|1993-01-04|1993-06-25|24|female
